run,t_s,distance_to_boundary_m,label,confidence,band
reobservation_official,1417.78,0.207,sand,0.623,0.0-0.3m
reobservation_official,1422.55,0.18,soil,0.774,0.0-0.3m
reobservation_official,1425.62,0.237,sand,0.47,0.0-0.3m
reobservation_official,1431.15,0.245,sand,0.651,0.0-0.3m
reobservation_official,1438.72,0.043,sand,0.509,0.0-0.3m
reobservation_official,1441.8,0.081,sand,0.873,0.0-0.3m
reobservation_official,1444.53,0.14,sand,0.87,0.0-0.3m
reobservation_official,1448.43,0.16,bedrock,0.589,0.0-0.3m
reobservation_official,1451.63,0.125,sand,0.886,0.0-0.3m
reobservation_official,1455.34,0.161,sand,0.647,0.0-0.3m
reobservation_official,1459.31,0.159,bedrock,0.828,0.0-0.3m
reobservation_official,1462.49,0.122,soil,0.594,0.0-0.3m
reobservation_official,1466.69,0.104,soil,0.568,0.0-0.3m
reobservation_official,1472.56,0.102,soil,0.557,0.0-0.3m
reobservation_official,1475.92,0.078,bedrock,0.547,0.0-0.3m
reobservation_official,1479.24,0.029,bedrock,0.707,0.0-0.3m
reobservation_official,1482.24,0.042,bedrock,0.607,0.0-0.3m
reobservation_official,1484.97,0.047,soil,0.812,0.0-0.3m
reobservation_official,1488.09,0.094,bedrock,0.461,0.0-0.3m
reobservation_official,1492.1,0.118,sand,0.929,0.0-0.3m
reobservation_official,1495.15,0.07,sand,0.509,0.0-0.3m
reobservation_official,1498.19,0.024,sand,0.583,0.0-0.3m
reobservation_official,1506.28,0.006,soil,0.502,0.0-0.3m
reobservation_official,1509.38,0.017,soil,0.577,0.0-0.3m
reobservation_official,1513.49,0.218,soil,0.857,0.0-0.3m
reobservation_official,1517.55,0.457,sand,0.449,0.3-0.6m
reobservation_official,1521.21,0.506,soil,0.738,0.3-0.6m
reobservation_official,1525.05,0.501,bedrock,0.511,0.3-0.6m
reobservation_official,1529.56,0.543,bedrock,0.62,0.3-0.6m
reobservation_official,1532.9,0.607,bedrock,0.704,0.6-1.0m
reobservation_official,1538.46,0.684,bedrock,0.534,0.6-1.0m
reobservation_official,1543.76,0.721,soil,0.544,0.6-1.0m
reobservation_official,1548.14,0.767,bedrock,0.508,0.6-1.0m
reobservation_official,1552.51,0.774,sand,0.505,0.6-1.0m
reobservation_official,1558.36,0.742,sand,0.58,0.6-1.0m
reobservation_official,1562.38,0.657,soil,0.487,0.6-1.0m
reobservation_official,1568.64,0.619,sand,0.704,0.6-1.0m
reobservation_official,1572.98,0.561,soil,0.502,0.3-0.6m
reobservation_official,1575.74,0.441,sand,0.625,0.3-0.6m
reobservation_official,1578.74,0.271,sand,0.96,0.0-0.3m
reobservation_official,1581.88,0.177,sand,0.889,0.0-0.3m
reobservation_official,1585.07,0.161,sand,0.921,0.0-0.3m
reobservation_official,1588.95,0.142,bedrock,0.656,0.0-0.3m
reobservation_official,1591.81,0.165,soil,0.857,0.0-0.3m
reobservation_official,1600.26,0.23,soil,0.6,0.0-0.3m
reobservation_official,1603.73,0.229,bedrock,0.567,0.0-0.3m
reobservation_official,1606.76,0.288,bedrock,0.689,0.0-0.3m
reobservation_official,1610.32,0.314,soil,0.68,0.3-0.6m
reobservation_official,1613.68,0.494,bedrock,0.786,0.3-0.6m
reobservation_official,1616.88,0.691,bedrock,0.936,0.6-1.0m
reobservation_official,1620.2,0.904,bedrock,0.713,0.6-1.0m
reobservation_official,1624.5,1.09,soil,0.543,1.0-2.0m
reobservation_official,1628.69,1.353,bedrock,0.706,1.0-2.0m
reobservation_official,1634.16,1.627,bedrock,0.808,1.0-2.0m
reobservation_official,1638.11,1.646,bedrock,0.552,1.0-2.0m
reobservation_official,1641.07,1.679,bedrock,0.559,1.0-2.0m
reobservation_official,1643.95,1.723,bedrock,0.71,1.0-2.0m
reobservation_official,1647.06,1.771,bedrock,0.719,1.0-2.0m
reobservation_official,1650.11,1.78,bedrock,0.804,1.0-2.0m
reobservation_official,1653.51,1.794,bedrock,0.743,1.0-2.0m
reobservation_official,1656.78,1.771,soil,0.531,1.0-2.0m
reobservation_official,1662.96,1.741,uncertain,0.388,1.0-2.0m
reobservation_official,1667.31,1.615,bedrock,0.755,1.0-2.0m
reobservation_official,1671.04,1.473,bedrock,0.507,1.0-2.0m
reobservation_official,1674.22,1.393,soil,0.409,1.0-2.0m
reobservation_official,1677.32,1.232,soil,0.654,1.0-2.0m
reobservation_official,1680.05,1.129,sand,0.426,1.0-2.0m
reobservation_official,1682.93,1.087,sand,0.613,1.0-2.0m
reobservation_official,1686.68,1.037,sand,0.529,1.0-2.0m
reobservation_official,1692.51,0.972,soil,0.593,0.6-1.0m
reobservation_official,1695.91,0.946,sand,0.76,0.6-1.0m
reobservation_official,1698.75,0.805,sand,0.74,0.6-1.0m
reobservation_official,1701.34,0.644,sand,0.597,0.6-1.0m
reobservation_official,1704.39,0.592,sand,0.623,0.3-0.6m
reobservation_official,1707.59,0.562,soil,0.587,0.3-0.6m
reobservation_official,1710.24,0.562,soil,0.52,0.3-0.6m
reobservation_official,1713.5,0.588,bedrock,0.707,0.3-0.6m
reobservation_official,1717.53,0.668,bedrock,0.962,0.6-1.0m
reobservation_official,1720.81,0.832,bedrock,0.79,0.6-1.0m
reobservation_official,1728.67,1.054,bedrock,0.916,1.0-2.0m
reobservation_official,1732.21,1.19,soil,0.665,1.0-2.0m
reobservation_official,1735.77,1.302,bedrock,0.961,1.0-2.0m
reobservation_official,1738.85,1.305,bedrock,0.911,1.0-2.0m
reobservation_official,1742.06,1.295,soil,0.609,1.0-2.0m
reobservation_official,1744.76,1.299,bedrock,0.434,1.0-2.0m
reobservation_official,1747.54,1.248,soil,0.541,1.0-2.0m
reobservation_official,1751.85,1.199,soil,0.63,1.0-2.0m
reobservation_official,1758.02,1.114,sand,0.562,1.0-2.0m
reobservation_official,1760.9,1.113,soil,0.517,1.0-2.0m
reobservation_official,1763.7,1.075,soil,0.521,1.0-2.0m
reobservation_official,1766.82,1.047,sand,0.518,1.0-2.0m
reobservation_official,1770.48,1.056,sand,0.467,1.0-2.0m
reobservation_official,1773.37,1.022,soil,0.453,1.0-2.0m
reobservation_official,1776.93,1.036,bedrock,0.455,1.0-2.0m
reobservation_official,1780.53,1.033,soil,0.431,1.0-2.0m
reobservation_official,1784.29,1.019,soil,0.476,1.0-2.0m
reobservation_official,1792.62,0.914,soil,0.694,0.6-1.0m
reobservation_official,1795.63,0.815,sand,0.689,0.6-1.0m
reobservation_official,1801.3,0.765,sand,0.506,0.6-1.0m
reobservation_official,1809.42,0.765,sand,0.504,0.6-1.0m
reobservation_official,1817.74,0.765,soil,0.623,0.6-1.0m
reobservation_official,1829.37,0.765,bedrock,0.518,0.6-1.0m
reobservation_official,1835.88,0.765,bedrock,0.941,0.6-1.0m
reobservation_official,1842.12,0.765,bedrock,0.754,0.6-1.0m
reobservation_official,1850.16,0.765,soil,0.768,0.6-1.0m
reobservation_official,1859.73,0.765,soil,0.735,0.6-1.0m
reobservation_official,1864.69,0.765,soil,0.602,0.6-1.0m
reobservation_official,1870.45,0.765,bedrock,0.815,0.6-1.0m
reobservation_official,1875.71,0.765,bedrock,0.792,0.6-1.0m
reobservation_official,1880.46,0.765,soil,0.566,0.6-1.0m
reobservation_official,1884.7,0.765,soil,0.514,0.6-1.0m
reobservation_official,1890.21,0.765,soil,0.659,0.6-1.0m
reobservation_official,1893.66,0.765,soil,0.529,0.6-1.0m
reobservation_official,1900.76,0.765,sand,0.507,0.6-1.0m
reobservation_official,1906.48,0.765,bedrock,0.487,0.6-1.0m
reobservation_official,1910.94,0.765,soil,0.552,0.6-1.0m
reobservation_official,1918.93,0.765,bedrock,0.608,0.6-1.0m
